"ref_distnm","Year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETECOC","SumOfCPETLEPC","SumOfCPETBILC","SumOfCPETSPEC"
"Jean Massieu Academy",2004,1,149.00,100.00,0.00,0.00,106.00
"Jean Massieu Academy",2005,1,162.00,80.00,1.00,0.00,114.00
"Jean Massieu Academy",2006,1,137.00,95.00,0.00,0.00,71.00
"Jean Massieu Academy",2007,1,114.00,80.00,0.00,0.00,56.00
"Jean Massieu Academy",2008,1,91.00,67.00,0.00,0.00,47.00
"Jean Massieu Academy",2009,1,91.00,64.00,10.00,10.00,39.00
"Jean Massieu Academy",2010,1,104.00,69.00,20.00,20.00,31.00
"Jean Massieu Academy",2011,1,122.00,74.00,38.00,37.00,26.00
"Jean Massieu Academy",2012,1,182.00,172.00,59.00,59.00,22.00
"Jean Massieu Academy",2013,1,200.00,135.00,58.00,58.00,22.00
"Jean Massieu Academy",2014,1,196.00,183.00,91.00,91.00,21.00
"Jean Massieu Academy",2015,1,193.00,181.00,102.00,102.00,20.00
"Jean Massieu Academy",2016,1,195.00,187.00,105.00,105.00,13.00
"Jean Massieu Academy",2017,1,195.00,192.00,114.00,114.00,14.00
"Jean Massieu Academy",2018,1,196.00,191.00,111.00,111.00,16.00
"Jean Massieu Academy",2019,1,195.00,187.00,128.00,128.00,15.00
"Jean Massieu Academy",2020,1,213.00,142.00,95.00,95.00,10.00
"Jesse Jackson Academy",2000,1,103.00,50.00,0.00,0.00,0.00
"Jesse Jackson Academy",2001,1,215.00,156.00,0.00,0.00,30.00
"Jesse Jackson Academy",2002,1,233.00,211.00,0.00,0.00,28.00
"Jesse Jackson Academy",2003,1,174.00,160.00,0.00,0.00,16.00
"Jesse Jackson Academy",2004,1,299.00,292.00,0.00,0.00,35.00
"Jesse Jackson Academy",2005,1,323.00,321.00,0.00,0.00,59.00
"Jesse Jackson Academy",2006,1,297.00,297.00,0.00,0.00,39.00
"Jesse Jackson Academy",2007,1,299.00,299.00,0.00,0.00,32.00
"Jesse Jackson Academy",2008,1,247.00,243.00,0.00,0.00,55.00
"Jesse Jackson Academy",2009,1,242.00,236.00,0.00,0.00,27.00
"Juan B Galaviz Charter School",2003,1,49.00,45.00,9.00,0.00,5.00
"Juan B Galaviz Charter School",2004,1,92.00,76.00,36.00,36.00,3.00
"Juan B Galaviz Charter School",2005,1,86.00,79.00,42.00,35.00,10.00
"Juan B Galaviz Charter School",2006,1,100.00,96.00,20.00,16.00,13.00
"Juan B Galaviz Charter School",2007,1,70.00,62.00,8.00,8.00,2.00
"Juan B Galaviz Charter School",2008,1,68.00,57.00,10.00,10.00,0.00
"Juan B Galaviz Charter School",2009,1,64.00,50.00,1.00,1.00,0.00
"Juan B Galaviz Charter School",2010,1,74.00,28.00,1.00,2.00,1.00
"Juan B Galaviz Charter School",2011,1,65.00,58.00,3.00,3.00,6.00
"Juan B Galaviz Charter School",2012,1,69.00,65.00,2.00,2.00,6.00
"Juan B Galaviz Charter School",2013,1,75.00,62.00,2.00,2.00,3.00
"Jubilee Academies",2002,1,182.00,119.00,0.00,0.00,11.00
"Jubilee Academies",2003,1,313.00,219.00,4.00,4.00,26.00
"Jubilee Academies",2004,2,415.00,312.00,8.00,8.00,38.00
"Jubilee Academies",2005,2,453.00,338.00,8.00,8.00,48.00
"Jubilee Academies",2006,2,446.00,334.00,19.00,19.00,49.00
"Jubilee Academies",2007,2,452.00,358.00,21.00,21.00,43.00
"Jubilee Academies",2008,2,535.00,402.00,27.00,27.00,48.00
"Jubilee Academies",2009,4,677.00,557.00,145.00,145.00,40.00
"Jubilee Academies",2010,4,701.00,591.00,116.00,116.00,45.00
"Jubilee Academies",2011,5,916.00,758.00,132.00,130.00,56.00
"Jubilee Academies",2012,7,1836.00,1267.00,234.00,226.00,110.00
"Jubilee Academies",2013,8,2378.00,1700.00,503.00,486.00,161.00
"Jubilee Academies",2014,9,2991.00,2277.00,648.00,603.00,196.00
"Jubilee Academies",2015,8,4251.00,2968.00,747.00,652.00,265.00
"Jubilee Academies",2016,8,4598.00,2927.00,839.00,764.00,301.00
"Jubilee Academies",2017,9,4731.00,3016.00,924.00,843.00,322.00
"Jubilee Academies",2018,10,5650.00,3533.00,1080.00,978.00,372.00
"Jubilee Academies",2019,10,5957.00,4215.00,1307.00,1198.00,402.00
"Jubilee Academies",2020,13,6542.00,5362.00,1492.00,841.00,502.00
"Katherine Anne Porter School",2000,1,61.00,16.00,0.00,0.00,12.00
"Katherine Anne Porter School",2001,1,114.00,16.00,0.00,0.00,18.00
"Katherine Anne Porter School",2002,2,201.00,44.00,0.00,0.00,40.00
"Katherine Anne Porter School",2003,2,171.00,61.00,0.00,0.00,36.00
"Katherine Anne Porter School",2004,1,125.00,49.00,0.00,0.00,21.00
"Katherine Anne Porter School",2005,1,115.00,39.00,0.00,0.00,26.00
"Katherine Anne Porter School",2006,1,99.00,40.00,0.00,0.00,18.00
"Katherine Anne Porter School",2007,1,124.00,38.00,0.00,0.00,21.00
"Katherine Anne Porter School",2008,1,122.00,31.00,0.00,0.00,16.00
"Katherine Anne Porter School",2009,1,121.00,34.00,0.00,0.00,10.00
"Katherine Anne Porter School",2010,1,124.00,56.00,0.00,0.00,14.00
"Katherine Anne Porter School",2011,1,139.00,71.00,0.00,0.00,13.00
"Katherine Anne Porter School",2012,1,146.00,74.00,0.00,0.00,12.00
"Katherine Anne Porter School",2013,1,137.00,64.00,0.00,0.00,14.00
"Katherine Anne Porter School",2014,1,150.00,79.00,0.00,0.00,17.00
"Katherine Anne Porter School",2015,1,146.00,74.00,0.00,0.00,14.00
"Katherine Anne Porter School",2016,1,164.00,67.00,0.00,0.00,16.00
"Katherine Anne Porter School",2017,1,159.00,73.00,0.00,0.00,17.00
"Katherine Anne Porter School",2018,1,157.00,63.00,0.00,0.00,14.00
"Katherine Anne Porter School",2019,1,168.00,68.00,0.00,0.00,23.00
"Katherine Anne Porter School",2020,1,144.00,67.00,0.00,0.00,21.00
"Kauffman Leadership Academy",2017,1,63.00,8.00,0.00,0.00,2.00
"Kauffman Leadership Academy",2018,1,91.00,22.00,3.00,3.00,11.00
"Kauffman Leadership Academy",2019,1,105.00,51.00,0.00,0.00,16.00
"Kauffman Leadership Academy",2020,1,102.00,57.00,0.00,0.00,19.00
"Kenny Dorham School For The Perfor",2001,1,25.00,3.00,0.00,0.00,0.00
"Kenny Dorham School For The Perfor",2002,1,40.00,21.00,0.00,0.00,4.00
"Ki Charter Academy",2016,1,173.00,173.00,0.00,0.00,88.00
"Ki Charter Academy",2017,1,174.00,174.00,1.00,0.00,99.00
"Ki Charter Academy",2018,1,174.00,170.00,4.00,2.00,96.00
"Ki Charter Academy",2019,1,176.00,158.00,5.00,5.00,102.00
"Ki Charter Academy",2020,1,183.00,180.00,5.00,5.00,116.00
"Kipp Texas Public Schools",1999,1,293.00,267.00,0.00,0.00,0.00
"Kipp Texas Public Schools",2000,1,290.00,266.00,49.00,32.00,6.00
"Kipp Texas Public Schools",2001,1,316.00,288.00,32.00,44.00,10.00
"Kipp Texas Public Schools",2002,1,338.00,303.00,29.00,18.00,12.00
"Kipp Texas Public Schools",2003,2,397.00,332.00,0.00,33.00,24.00
"Kipp Texas Public Schools",2004,4,589.00,481.00,74.00,79.00,47.00
"Kipp Texas Public Schools",2005,4,892.00,762.00,181.00,170.00,64.00
"Kipp Texas Public Schools",2006,5,1682.00,1472.00,312.00,288.00,111.00
"Kipp Texas Public Schools",2007,9,2371.00,1985.00,492.00,473.00,127.00
"Kipp Texas Public Schools",2008,13,3273.00,2935.00,773.00,744.00,180.00
"Kipp Texas Public Schools",2009,18,4484.00,4022.00,1163.00,1156.00,223.00
"Kipp Texas Public Schools",2010,22,6055.00,5270.00,1626.00,1616.00,288.00
"Kipp Texas Public Schools",2011,27,8014.00,7208.00,2397.00,2364.00,358.00
"Kipp Texas Public Schools",2012,29,9945.00,8975.00,3136.00,3102.00,457.00
"Kipp Texas Public Schools",2013,32,12220.00,10526.00,3868.00,3857.00,585.00
"Kipp Texas Public Schools",2014,36,15029.00,13596.00,4925.00,5005.00,778.00
"Kipp Texas Public Schools",2015,39,17773.00,16015.00,6375.00,6624.00,1038.00
"Kipp Texas Public Schools",2016,41,20554.00,18563.00,7559.00,7969.00,1307.00
"Kipp Texas Public Schools",2017,46,23279.00,20887.00,8370.00,8883.00,1541.00
"Kipp Texas Public Schools",2018,49,25154.00,22195.00,9182.00,9664.00,1798.00
"Kipp Texas Public Schools",2019,51,27048.00,24339.00,10053.00,10678.00,2054.00
"Kipp Texas Public Schools",2020,53,28277.00,24326.00,10584.00,220.00,2321.00
"Koinonia Community Learning Academy",2011,1,43.00,43.00,0.00,0.00,0.00
"Koinonia Community Learning Academy",2012,1,208.00,200.00,7.00,7.00,14.00
"Koinonia Community Learning Academy",2013,1,176.00,173.00,5.00,1.00,10.00
"Koinonia Community Learning Academy",2014,1,135.00,134.00,0.00,0.00,19.00
"La Academia De Estrellas",2007,1,174.00,154.00,122.00,122.00,7.00
"La Academia De Estrellas",2008,1,271.00,236.00,158.00,158.00,18.00
"La Academia De Estrellas",2009,1,334.00,299.00,205.00,207.00,36.00
"La Academia De Estrellas",2010,1,354.00,318.00,208.00,208.00,27.00
"La Academia De Estrellas",2011,1,602.00,568.00,325.00,325.00,38.00
"La Academia De Estrellas",2012,1,743.00,695.00,396.00,396.00,59.00
"La Academia De Estrellas",2013,1,950.00,899.00,499.00,494.00,82.00
"La Academia De Estrellas",2014,1,1058.00,1000.00,548.00,539.00,103.00
"La Academia De Estrellas",2015,1,1048.00,989.00,578.00,571.00,99.00
"La Academia De Estrellas",2016,1,1126.00,1011.00,663.00,649.00,107.00
"La Academia De Estrellas",2017,1,1083.00,994.00,665.00,651.00,104.00
"La Academia De Estrellas",2018,1,1088.00,961.00,670.00,659.00,95.00
"La Academia De Estrellas",2019,1,1096.00,945.00,688.00,680.00,102.00
"La Academia De Estrellas",2020,1,1105.00,978.00,721.00,684.00,120.00
"La Amistad Love & Learning Academy",2000,1,52.00,51.00,0.00,0.00,0.00
"La Amistad Love & Learning Academy",2001,1,106.00,102.00,0.00,0.00,0.00
"La Amistad Love & Learning Academy",2002,1,127.00,125.00,0.00,0.00,0.00
"La Amistad Love & Learning Academy",2003,1,155.00,153.00,0.00,0.00,0.00
"La Amistad Love & Learning Academy",2004,1,255.00,246.00,0.00,0.00,0.00
"La Amistad Love & Learning Academy",2005,1,257.00,243.00,0.00,0.00,4.00
"La Amistad Love & Learning Academy",2006,1,280.00,279.00,60.00,57.00,6.00
"La Amistad Love & Learning Academy",2007,1,184.00,179.00,55.00,52.00,1.00
"La Amistad Love & Learning Academy",2008,1,199.00,198.00,57.00,47.00,0.00
"La Amistad Love & Learning Academy",2009,3,258.00,184.00,166.00,166.00,0.00
"La Amistad Love & Learning Academy",2010,3,347.00,342.00,203.00,195.00,7.00
"La Amistad Love & Learning Academy",2011,3,387.00,381.00,227.00,220.00,6.00
"La Amistad Love & Learning Academy",2012,3,397.00,374.00,227.00,222.00,12.00
"La Amistad Love & Learning Academy",2013,3,344.00,336.00,204.00,203.00,41.00
"La Amistad Love & Learning Academy",2014,3,253.00,243.00,182.00,181.00,155.00
"La Amistad Love & Learning Academy",2015,2,257.00,242.00,202.00,202.00,32.00
"La Amistad Love & Learning Academy",2016,1,228.00,216.00,176.00,176.00,7.00
"La Escuela De Las Americas",1999,1,45.00,45.00,19.00,19.00,11.00
"La Escuela De Las Americas",2000,1,99.00,83.00,34.00,35.00,4.00
"La Escuela De Las Americas",2001,1,63.00,57.00,34.00,32.00,8.00
"La Escuela De Las Americas",2002,1,73.00,63.00,43.00,43.00,4.00
"La Escuela De Las Americas",2003,1,89.00,71.00,47.00,37.00,2.00
"La Escuela De Las Americas",2004,1,98.00,88.00,42.00,38.00,9.00
"La Escuela De Las Americas",2005,1,121.00,112.00,55.00,54.00,8.00
"La Escuela De Las Americas",2006,1,142.00,133.00,64.00,64.00,8.00
"La Escuela De Las Americas",2007,1,124.00,116.00,66.00,66.00,5.00
"La Escuela De Las Americas",2008,1,149.00,124.00,74.00,72.00,7.00
"La Escuela De Las Americas",2009,1,161.00,69.00,85.00,161.00,8.00
"La Escuela De Las Americas",2010,1,98.00,73.00,53.00,98.00,4.00
"La Fe Preparatory School",2008,1,93.00,90.00,74.00,74.00,1.00
"La Fe Preparatory School",2009,1,126.00,118.00,98.00,98.00,7.00
"La Fe Preparatory School",2010,1,156.00,139.00,126.00,126.00,12.00
"La Fe Preparatory School",2011,1,190.00,165.00,149.00,175.00,14.00
"La Fe Preparatory School",2012,1,217.00,188.00,168.00,214.00,17.00
"La Fe Preparatory School",2013,1,268.00,240.00,202.00,262.00,18.00
"La Fe Preparatory School",2014,1,275.00,258.00,211.00,237.00,16.00
"La Fe Preparatory School",2015,1,251.00,237.00,184.00,246.00,25.00
"La Fe Preparatory School",2016,1,262.00,247.00,193.00,236.00,15.00
"La Fe Preparatory School",2017,1,259.00,248.00,198.00,234.00,7.00
"La Fe Preparatory School",2018,1,249.00,241.00,190.00,217.00,6.00
"La Fe Preparatory School",2019,1,235.00,227.00,190.00,215.00,10.00
"La Fe Preparatory School",2020,1,217.00,211.00,180.00,215.00,5.00
"Lake Granbury Academy Charter Scho",2019,1,77.00,0.00,5.00,5.00,14.00
"Lake Granbury Academy Charter Scho",2020,1,87.00,87.00,0.00,0.00,16.00
"Leadership Prep School",2012,1,250.00,20.00,23.00,22.00,2.00
"Leadership Prep School",2013,1,350.00,16.00,34.00,32.00,7.00
"Leadership Prep School",2014,1,425.00,17.00,36.00,44.00,20.00
"Leadership Prep School",2015,1,520.00,27.00,41.00,42.00,44.00
"Leadership Prep School",2016,1,595.00,20.00,46.00,45.00,52.00
"Leadership Prep School",2017,2,876.00,33.00,74.00,72.00,58.00
"Leadership Prep School",2018,2,1099.00,36.00,62.00,58.00,73.00
"Leadership Prep School",2019,2,1242.00,42.00,74.00,72.00,94.00
"Leadership Prep School",2020,2,1283.00,49.00,67.00,65.00,94.00
"Legacy Preparatory",2013,3,820.00,454.00,51.00,50.00,27.00
"Legacy Preparatory",2014,3,980.00,727.00,145.00,134.00,47.00
"Legacy Preparatory",2015,3,1252.00,889.00,301.00,283.00,71.00
"Legacy Preparatory",2016,3,1187.00,791.00,339.00,317.00,74.00
"Legacy Preparatory",2017,3,1362.00,887.00,451.00,432.00,96.00
"Legacy Preparatory",2018,2,1393.00,880.00,490.00,476.00,105.00
"Legacy Preparatory",2019,2,1390.00,1069.00,494.00,475.00,121.00
"Legacy Preparatory",2020,2,1572.00,1221.00,582.00,97.00,131.00
"Legacy School Of Sport Sciences",2019,1,393.00,113.00,5.00,5.00,16.00
"Legacy School Of Sport Sciences",2020,1,433.00,140.00,5.00,5.00,24.00
"Life School",1999,1,283.00,125.00,0.00,0.00,6.00
"Life School",2000,1,569.00,231.00,0.00,0.00,8.00
"Life School",2001,1,708.00,339.00,0.00,0.00,12.00
"Life School",2002,1,794.00,430.00,48.00,39.00,33.00
"Life School",2003,1,869.00,465.00,58.00,43.00,54.00
"Life School",2004,2,1250.00,607.00,70.00,69.00,65.00
"Life School",2005,2,1648.00,771.00,123.00,122.00,130.00
"Life School",2006,2,1964.00,873.00,140.00,138.00,203.00
"Life School",2007,2,2171.00,902.00,123.00,123.00,266.00
"Life School",2008,3,2829.00,1183.00,161.00,158.00,275.00
"Life School",2009,4,3124.00,1322.00,171.00,170.00,270.00
"Life School",2010,4,3434.00,1594.00,211.00,210.00,261.00
"Life School",2011,4,3705.00,1819.00,243.00,241.00,247.00
"Life School",2012,4,3939.00,2033.00,286.00,280.00,261.00
"Life School",2013,4,4206.00,2270.00,326.00,320.00,287.00
"Life School",2014,5,4644.00,2574.00,392.00,384.00,320.00
"Life School",2015,5,5026.00,2776.00,484.00,479.00,320.00
"Life School",2016,7,5364.00,3052.00,533.00,525.00,374.00
"Life School",2017,7,5668.00,3161.00,542.00,533.00,419.00
"Life School",2018,7,5662.00,3445.00,507.00,500.00,489.00
"Life School",2019,7,5704.00,3598.00,511.00,498.00,538.00
"Life School",2020,8,5605.00,3600.00,538.00,399.00,622.00
"Lighthouse Charter School",2004,1,168.00,109.00,0.00,0.00,10.00
"Lighthouse Charter School",2005,1,176.00,109.00,0.00,0.00,19.00
"Lighthouse Charter School",2006,1,152.00,100.00,0.00,0.00,16.00
"Lighthouse Charter School",2007,1,66.00,60.00,4.00,4.00,5.00
"Lighthouse Charter School",2008,1,127.00,108.00,3.00,4.00,15.00
"Lighthouse Charter School",2009,1,166.00,138.00,9.00,9.00,16.00
"Lighthouse Charter School",2010,1,207.00,144.00,10.00,10.00,20.00
"Lighthouse Charter School",2011,1,221.00,205.00,30.00,30.00,16.00
"Lighthouse Charter School",2012,1,214.00,194.00,39.00,39.00,20.00
"Lighthouse Charter School",2013,1,233.00,213.00,47.00,47.00,21.00
"Lighthouse Charter School",2014,1,247.00,222.00,63.00,63.00,20.00
"Lighthouse Charter School",2015,1,262.00,232.00,60.00,60.00,22.00
"Lighthouse Charter School",2016,2,287.00,249.00,75.00,75.00,25.00
"Lighthouse Charter School",2017,2,295.00,256.00,62.00,58.00,22.00
"Lighthouse Charter School",2018,2,302.00,258.00,67.00,65.00,22.00
"Lighthouse Charter School",2019,2,332.00,293.00,84.00,83.00,10.00
"Lighthouse Charter School",2020,2,334.00,287.00,89.00,87.00,23.00
"Lone Star Language Academy",2018,1,111.00,4.00,17.00,17.00,7.00
"Lone Star Language Academy",2019,1,171.00,0.00,5.00,5.00,11.00
"Lone Star Language Academy",2020,1,190.00,5.00,27.00,24.00,14.00
"Lumin Education",2000,1,59.00,44.00,15.00,0.00,0.00
"Lumin Education",2001,1,103.00,65.00,37.00,33.00,4.00
"Lumin Education",2002,1,126.00,80.00,45.00,36.00,10.00
"Lumin Education",2003,1,150.00,98.00,64.00,50.00,12.00
"Lumin Education",2004,1,156.00,101.00,72.00,61.00,15.00
"Lumin Education",2005,1,163.00,111.00,80.00,72.00,21.00
"Lumin Education",2006,1,171.00,108.00,82.00,76.00,16.00
"Lumin Education",2007,1,168.00,109.00,79.00,74.00,15.00
"Lumin Education",2008,1,177.00,106.00,91.00,86.00,9.00
"Lumin Education",2009,1,198.00,125.00,83.00,77.00,8.00
"Lumin Education",2010,1,207.00,138.00,81.00,78.00,11.00
"Lumin Education",2011,1,225.00,138.00,88.00,85.00,24.00
"Lumin Education",2012,1,249.00,154.00,103.00,101.00,28.00
"Lumin Education",2013,1,263.00,146.00,96.00,91.00,30.00
"Lumin Education",2014,1,273.00,158.00,107.00,101.00,23.00
"Lumin Education",2015,1,272.00,170.00,124.00,116.00,18.00
"Lumin Education",2016,1,281.00,186.00,120.00,115.00,19.00
"Lumin Education",2017,1,293.00,188.00,122.00,123.00,31.00
"Lumin Education",2018,1,313.00,187.00,119.00,115.00,36.00
"Lumin Education",2019,1,296.00,191.00,112.00,111.00,34.00
"Lumin Education",2020,1,308.00,183.00,117.00,116.00,29.00
"Lynacre Academy Charter School",2000,1,63.00,55.00,0.00,0.00,9.00
"Lynacre Academy Charter School",2001,1,126.00,119.00,8.00,0.00,12.00
"Lynacre Academy Charter School",2002,1,127.00,125.00,14.00,0.00,23.00
"Lynacre Academy Charter School",2003,1,139.00,131.00,0.00,0.00,26.00
"Lynacre Academy Charter School",2004,1,120.00,116.00,0.00,0.00,25.00
"Lynacre Academy Charter School",2005,1,117.00,116.00,0.00,0.00,23.00
"Lynacre Academy Charter School",2006,1,88.00,87.00,0.00,0.00,10.00
"Lynacre Academy Charter School",2007,1,105.00,105.00,0.00,0.00,0.00
"Lynacre Academy Charter School",2008,1,68.00,56.00,0.00,0.00,7.00
"Mainland Preparatory Academy",1999,1,188.00,79.00,0.00,0.00,2.00
"Mainland Preparatory Academy",2000,1,215.00,114.00,0.00,0.00,6.00
"Mainland Preparatory Academy",2001,1,259.00,133.00,3.00,0.00,5.00
"Mainland Preparatory Academy",2002,1,284.00,132.00,0.00,0.00,4.00
"Mainland Preparatory Academy",2003,1,348.00,165.00,0.00,0.00,4.00
"Mainland Preparatory Academy",2004,1,609.00,327.00,0.00,0.00,6.00
"Mainland Preparatory Academy",2005,1,589.00,384.00,0.00,0.00,8.00
"Mainland Preparatory Academy",2006,1,564.00,291.00,3.00,0.00,3.00
"Mainland Preparatory Academy",2007,1,543.00,321.00,0.00,0.00,4.00
"Mainland Preparatory Academy",2008,1,495.00,347.00,0.00,0.00,3.00
"Mainland Preparatory Academy",2009,1,505.00,302.00,0.00,0.00,4.00
"Mainland Preparatory Academy",2010,1,481.00,327.00,0.00,0.00,2.00
"Mainland Preparatory Academy",2011,1,438.00,322.00,0.00,0.00,3.00
"Mainland Preparatory Academy",2012,1,411.00,304.00,0.00,0.00,0.00
"Mainland Preparatory Academy",2013,1,392.00,265.00,1.00,1.00,5.00
"Mainland Preparatory Academy",2014,1,412.00,348.00,1.00,1.00,4.00
"Mainland Preparatory Academy",2015,1,437.00,365.00,1.00,1.00,3.00
"Manara Academy",2010,1,249.00,94.00,115.00,115.00,4.00
"Manara Academy",2011,1,202.00,91.00,77.00,75.00,8.00
"Manara Academy",2012,1,406.00,214.00,85.00,82.00,26.00
"Manara Academy",2013,1,457.00,241.00,97.00,95.00,31.00
"Manara Academy",2014,1,494.00,246.00,109.00,107.00,30.00
"Manara Academy",2015,2,693.00,345.00,131.00,131.00,40.00
"Manara Academy",2016,2,873.00,429.00,201.00,186.00,52.00
"Manara Academy",2017,3,917.00,401.00,252.00,197.00,51.00
"Manara Academy",2018,3,878.00,429.00,280.00,250.00,67.00
"Manara Academy",2019,3,892.00,420.00,298.00,286.00,56.00
"Manara Academy",2020,3,750.00,438.00,229.00,217.00,49.00
"Mccullough Academy Of Excellence",2001,1,185.00,63.00,0.00,0.00,4.00
"Mccullough Academy Of Excellence",2002,1,193.00,86.00,0.00,0.00,4.00
"Mccullough Academy Of Excellence",2003,1,232.00,1.00,0.00,0.00,10.00
"Mccullough Academy Of Excellence",2004,1,186.00,112.00,0.00,0.00,13.00
"Mccullough Academy Of Excellence",2005,1,180.00,104.00,0.00,0.00,10.00
"Mccullough Academy Of Excellence",2006,1,125.00,88.00,0.00,0.00,6.00
"Mccullough Academy Of Excellence",2007,1,137.00,110.00,1.00,1.00,6.00
"Meadowland Charter District",2009,1,30.00,28.00,0.00,0.00,17.00
"Meadowland Charter District",2010,1,60.00,53.00,0.00,0.00,34.00
"Meadowland Charter District",2011,1,48.00,43.00,0.00,0.00,28.00
"Meadowland Charter District",2012,1,57.00,47.00,0.00,0.00,33.00
"Meadowland Charter District",2013,1,70.00,65.00,0.00,0.00,27.00
"Meadowland Charter District",2014,1,97.00,86.00,0.00,0.00,44.00
"Meadowland Charter District",2015,1,100.00,91.00,0.00,0.00,46.00
"Meadowland Charter District",2016,1,101.00,88.00,0.00,0.00,37.00
"Meadowland Charter District",2017,1,86.00,75.00,0.00,0.00,36.00
"Meadowland Charter District",2018,2,137.00,127.00,0.00,0.00,71.00
"Meadowland Charter District",2019,3,82.00,83.00,0.00,0.00,49.00
"Meadowland Charter District",2020,2,90.00,85.00,0.00,0.00,10.00
"Medical Center Charter School",2000,1,83.00,55.00,9.00,8.00,0.00
"Medical Center Charter School",2001,1,223.00,88.00,15.00,2.00,3.00
"Medical Center Charter School",2002,1,255.00,91.00,27.00,25.00,10.00
"Medical Center Charter School",2003,1,202.00,107.00,21.00,18.00,15.00
"Medical Center Charter School",2004,1,188.00,103.00,28.00,24.00,25.00
"Medical Center Charter School",2005,1,271.00,202.00,62.00,55.00,16.00
"Medical Center Charter School",2006,1,251.00,202.00,58.00,51.00,11.00
"Medical Center Charter School",2007,1,241.00,206.00,47.00,38.00,11.00
"Medical Center Charter School",2008,1,240.00,201.00,47.00,46.00,11.00
"Medical Center Charter School",2009,1,261.00,224.00,53.00,49.00,11.00
"Medical Center Charter School",2010,1,222.00,198.00,32.00,29.00,6.00
"Medical Center Charter School",2011,1,222.00,204.00,42.00,37.00,5.00
"Medical Center Charter School",2012,1,262.00,238.00,60.00,52.00,9.00
"Medical Center Charter School",2013,1,348.00,283.00,78.00,60.00,10.00
"Medical Center Charter School",2014,1,306.00,261.00,89.00,77.00,7.00
"Medical Center Charter School",2015,1,326.00,259.00,89.00,77.00,8.00
"Meridian World School Llc",2012,1,669.00,74.00,8.00,8.00,23.00
"Meridian World School Llc",2013,1,785.00,63.00,20.00,18.00,27.00
"Meridian World School Llc",2014,1,975.00,82.00,27.00,25.00,39.00
"Meridian World School Llc",2015,1,1064.00,68.00,30.00,27.00,47.00
"Meridian World School Llc",2016,1,1249.00,95.00,32.00,27.00,63.00
"Meridian World School Llc",2017,1,1421.00,120.00,46.00,41.00,85.00
"Meridian World School Llc",2018,1,1594.00,162.00,63.00,57.00,111.00
"Meridian World School Llc",2019,1,1648.00,192.00,87.00,81.00,163.00
"Meridian World School Llc",2020,1,1670.00,175.00,91.00,84.00,178.00
"Metro Academy Of Math And Science",2002,1,298.00,26.00,0.00,0.00,4.00
"Metro Academy Of Math And Science",2003,1,300.00,93.00,0.00,0.00,10.00
"Metro Academy Of Math And Science",2004,1,356.00,135.00,0.00,0.00,10.00
"Metro Academy Of Math And Science",2005,1,417.00,145.00,0.00,0.00,14.00
"Metro Academy Of Math And Science",2006,1,339.00,174.00,0.00,0.00,14.00
"Metro Academy Of Math And Science",2007,1,568.00,422.00,0.00,0.00,16.00
"Metro Academy Of Math And Science",2008,3,322.00,208.00,0.00,0.00,7.00
"Metro Academy Of Math And Science",2009,3,313.00,209.00,0.00,0.00,16.00
"Metro Academy Of Math And Science",2010,3,359.00,283.00,1.00,1.00,28.00
"Metro Academy Of Math And Science",2011,3,376.00,276.00,1.00,1.00,24.00
"Meyerpark Elementary",2005,1,81.00,70.00,0.00,0.00,2.00
"Meyerpark Elementary",2006,1,133.00,114.00,0.00,0.00,7.00
"Meyerpark Elementary",2007,1,96.00,72.00,0.00,0.00,7.00
"Meyerpark Elementary",2008,1,131.00,103.00,0.00,0.00,5.00
"Meyerpark Elementary",2009,1,158.00,116.00,0.00,0.00,7.00
"Meyerpark Elementary",2010,1,174.00,145.00,0.00,0.00,8.00
"Meyerpark Elementary",2011,1,214.00,177.00,0.00,0.00,13.00
"Meyerpark Elementary",2012,1,236.00,197.00,0.00,0.00,6.00
"Meyerpark Elementary",2013,1,151.00,122.00,0.00,0.00,8.00
"Meyerpark Elementary",2014,1,199.00,181.00,0.00,0.00,10.00
"Meyerpark Elementary",2015,1,224.00,205.00,0.00,0.00,11.00
"Meyerpark Elementary",2016,1,249.00,232.00,0.00,0.00,14.00
"Meyerpark Elementary",2017,1,243.00,229.00,0.00,0.00,15.00
"Meyerpark Elementary",2018,1,245.00,228.00,0.00,0.00,14.00
"Meyerpark Elementary",2019,1,278.00,266.00,5.00,5.00,18.00
"Meyerpark Elementary",2020,1,265.00,253.00,5.00,5.00,16.00
"Midland Academy Charter School",2000,1,586.00,262.00,0.00,0.00,0.00
"Midland Academy Charter School",2001,1,702.00,457.00,0.00,0.00,42.00
"Midland Academy Charter School",2002,1,549.00,351.00,50.00,49.00,38.00
"Midland Academy Charter School",2003,1,499.00,342.00,60.00,60.00,42.00
"Midland Academy Charter School",2004,1,392.00,322.00,40.00,40.00,60.00
"Midland Academy Charter School",2005,1,511.00,369.00,62.00,60.00,60.00
"Midland Academy Charter School",2006,1,503.00,328.00,73.00,70.00,50.00
"Midland Academy Charter School",2007,1,469.00,285.00,45.00,41.00,35.00
"Midland Academy Charter School",2008,1,499.00,273.00,38.00,37.00,33.00
"Midland Academy Charter School",2009,1,488.00,198.00,35.00,35.00,32.00
"Midland Academy Charter School",2010,1,538.00,351.00,40.00,39.00,34.00
